positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
53.12,0,46.88,171.25,169.12,171.7,169.75,24626800,488,61,-1
21.15,15.38,63.46,169.71,169.5,171.26,169.38,21835700,635,64,1
27.03,24.32,48.65,171.39,168.89,172.48,169.92,22490200,652,37,-1
32.35,5.88,61.76,170.1,169.59,171,169.7,22283500,487,43,1
31.25,6.25,62.5,171.05,168.14,171.21,169.25,20993400,323,90,-1
26.92,7.69,65.38,168.99,169.11,170.66,168.42,23820000,413,45,1
17.86,7.14,75,172.4,168.92,173.94,170.34,31741700,496,19,-1
36.36,3.03,60.61,174.65,172.18,175.57,172.85,28239600,587,50,1
38.78,6.12,55.1,172.86,172.12,175.08,172.35,36101600,766,63,1
44.12,5.88,50,167.41,169.22,171.66,167.28,31495500,521,26,1
37.78,13.33,48.89,166.96,164.55,168.98,165.93,32668100,699,47,1
13.64,11.36,75,163.25,163.29,166.15,160.23,61109800,573,16,1
24.14,10.34,65.52,156.25,152.85,158.13,154.11,41587200,693,36,-1
24.39,26.83,48.78,155.79,154.45,156.33,153.66,26192100,631,13,-1
32.5,5,62.5,155.48,155.89,158.13,154.32,33535500,571,25,1
40.54,10.81,48.65,154.11,150.89,154.48,151.74,25441500,582,19,-1
20.45,15.91,63.64,154.15,152.1,155.14,151.7,23130600,658,51,1
35.56,8.89,55.56,156.41,151.48,156.73,152.62,30394000,689,22,-1
30.43,8.7,60.87,157.5,154.96,157.88,155.98,33751000,567,13,1
34.62,17.31,48.08,154.2,154.01,157.66,153.26,29821200,803,54,1
12.5,17.5,70,153.08,153.1,155.88,153,30569700,626,20,1
31.71,14.63,53.66,150.27,151.26,153.39,150.05,28710900,512,25,1
18.18,22.73,59.09,150.85,148.22,151.27,149.22,32439200,757,27,-1
43.14,5.88,50.98,152.88,150.49,153.7,151.51,27023200,915,43,-1
20,26,54,152.5,151.98,153.97,150.86,35780700,746,29,1
29.27,14.63,56.1,151.29,151.49,154.53,149.63,45099100,685,34,1
31.03,13.79,55.17,149.56,148.96,151.82,148.52,41025300,1004,33,1
23.33,18.33,58.33,148.7,146.18,148.83,145.9,54777800,832,31,-1
25.42,18.64,55.93,144.53,146.5,148.55,143.8,58607100,888,33,1
24.14,18.97,56.9,143.98,140.51,145.72,142,91312200,790,44,-1
14.29,12.7,73.02,154.89,156.05,158.85,154.23,37039700,887,37,1
23.68,2.63,73.68,157.5,154.38,158.52,154.55,42291400,494,18,1
22.86,17.14,60,155.84,154.3,156.77,150.07,53117100,562,41,-1
25,22.22,52.78,148.3,155.31,157.23,146.72,58582500,711,9,1
20.93,6.98,72.09,148.15,145.09,151.55,146.59,37169200,770,41,-1
19.3,5.26,75.44,156.86,148.94,158.16,149.63,95744600,818,73,-1
18.18,15.91,65.91,160.4,154.97,162.11,155.3,64773000,598,30,-1
26.83,7.32,65.85,166,158.98,167.45,159.09,49047300,545,38,-1
29.73,8.11,62.16,165.38,164.1,167.53,164.39,33841500,607,21,1
28.21,15.38,56.41,165.45,162,168.35,162.73,44287900,694,47,-1
29.27,36.59,34.15,169,163.52,169.08,165.28,40703700,758,52,-1
39.39,3.03,57.58,170.49,168.93,172.57,169.55,31898600,593,41,1
23.81,9.52,66.67,170.4,167.1,171.92,169.02,35627700,790,46,1
27.5,17.5,55,171.66,166.63,171.79,167,47281700,509,11,-1
20.45,15.91,63.64,165,167.59,170.09,163.33,62026000,514,26,1
25,6.82,68.18,173.49,166.49,174.49,168.3,42281600,725,36,-1
25,5,70,171.76,172.65,174.78,170.42,43098400,570,13,-1
32.5,15,52.5,180.95,174.6,182.39,176.27,41344300,655,20,-1
33.33,17.95,48.72,184.46,182.63,184.94,181.21,40802500,693,23,1
21.43,19.05,59.52,182.66,177.42,182.8,177.7,41770000,578,80,-1
27.78,9.26,62.96,176.73,178.8,181.29,174.93,46062500,801,53,1
46.67,11.11,42.22,171.51,172.18,174.77,170.88,41387400,687,23,-1
20.69,10.34,68.97,174.24,172.55,174.95,170.26,44998500,881,17,1
30.61,12.24,57.14,174.94,170.25,176.6,172.1,23624000,817,22,-1
30.77,15.38,53.85,179.73,174.69,180.27,176.55,31124200,828,67,-1
25.86,20.69,53.45,178.37,174.88,181.47,175.51,67825200,933,29,-1
35.09,10.53,54.39,190,183.66,190.7,184.99,41925300,664,45,-1
50,2.17,47.83,190.5,191.24,194.97,189.46,36928300,761,64,1
22.64,11.32,66.04,188.39,189.14,191.97,186.9,46478800,772,59,1
22.81,14.04,63.16,193.9,184.59,194.48,185.93,60801000,756,28,-1
27.5,10,62.5,191.63,189.95,197.18,191.45,46882900,676,20,-1
18.87,22.64,58.49,199,191.87,199.85,193.79,51135500,636,18,-1
41.86,2.33,55.81,205.55,202.05,206.01,202.25,34365800,718,60,-1
31.43,8.57,60,209.98,206.02,210.12,206.75,25362600,553,36,-1
46.34,12.2,41.46,205.97,206.74,210.06,204.13,33424400,607,57,1
38.46,7.69,53.85,201.92,200.66,204.72,201.69,31882900,660,94,1
32.65,16.33,51.02,204.3,198.51,204.39,198.17,66163700,640,27,-1
35.19,18.52,46.3,209.55,204.31,213.65,205.43,91328700,816,53,-1
18.97,20.69,60.34,219.05,218.82,222.36,216.81,58323200,890,19,1
60.87,4.35,34.78,211.15,210.04,215.18,209.27,36660000,758,18,1
11.63,30.23,58.14,219.19,209,219.69,206.09,45935500,604,21,-1
39.66,3.45,56.9,215.9,212.99,220.19,212.67,47258400,976,47,-1
22.22,12.96,64.81,217.71,216.44,221.38,216.75,29855800,640,16,1
33.33,26.67,40,222.6,211.8,224.23,214.54,40925500,779,140,-1
36.96,6.52,56.52,215.83,219.33,223.25,214.7,38767800,791,79,1
22.5,17.5,60,219.79,217.28,223.36,218.94,28792100,572,22,1
27.5,5,67.5,218.06,215.96,221.26,217.43,33078700,585,35,1
29.55,13.64,56.82,217.86,212.72,219.74,213,32581300,635,42,-1
42.42,6.06,51.52,222.3,217.81,222.64,219.34,22885400,588,21,-1
39.47,10.53,50,218.93,218.76,222.99,216.76,29184000,623,32,1
43.59,15.38,41.03,221.16,214.04,221.83,217.27,30791000,543,8,-1
41.46,17.07,41.46,220.42,218.72,222.88,216.84,40337900,658,43,1
46.94,6.12,46.94,214.52,211.17,219.5,212.32,53124400,725,15,-1
27.5,12.5,60,225.46,213.05,226.35,216.05,41990600,590,60,-1
24.32,8.11,67.57,223.64,223.4,227.27,222.25,26891000,530,60,1
26.09,17.39,56.52,222.21,220.35,224.8,220.2,29663900,752,20,-1
47.92,14.58,37.5,227.96,220.86,228.41,220.58,33580500,744,46,-1
23.91,19.57,56.52,230.78,224.51,232.35,226.73,32042000,640,26,-1
53.49,13.95,32.56,230.05,228.52,233.47,229.78,28654800,769,48,1
30.43,4.35,65.22,227.25,225.78,230,226.63,24788200,681,40,1
34.78,8.7,56.52,227.95,223.79,229.42,226.35,23600800,725,77,1
40.82,14.29,44.9,224.79,222.29,225.84,224.02,22929400,820,21,1
44.44,6.67,48.89,223.82,221.51,226.44,223.54,30181200,610,69,1
58.7,10.87,30.43,221,217.05,223.75,219.76,23984700,871,71,-1
31.25,10.42,58.33,219.75,218.79,222.82,219.7,24554400,756,103,1
27.66,14.89,57.45,216.82,217.42,221.26,216.63,27693400,683,93,1
25.53,6.38,68.09,220.78,214.33,221.36,217.29,96246700,580,29,-1
34.69,14.29,51.02,220.24,216.67,222.28,219.15,26608800,691,49,1
32.73,7.27,60,218.5,215.03,219.62,215.3,27123800,866,60,1
37.78,11.11,51.11,217.79,214.91,221.85,217.12,31571700,712,46,1
45.65,17.39,36.96,222.15,214.55,222.95,217.27,37195100,902,32,-1
47.5,10,42.5,225.75,220.42,226.84,222.52,31999300,773,29,-1
25,11.11,63.89,223.52,222.95,228.35,222.57,41706400,520,77,1
35.56,4.44,60,224.94,217.69,225,219.84,49278700,688,52,-1
40.62,15.62,43.75,218.01,220.43,224.3,216.56,35749000,363,59,1
23.08,20.51,56.41,220.95,214.99,221.85,216.47,39516500,602,85,-1
18,18,64,221.85,217.92,225.37,220.71,37619800,827,26,-1
26.67,17.78,55.56,226.23,219.69,227.35,221.3,34290000,751,30,-1
39.39,6.06,54.55,228.99,223.4,229.67,225.1,33333000,578,21,-1
38.78,10.2,51.02,228.41,224.87,229.18,226.63,27390100,720,50,1
14.52,19.35,66.13,223.25,221.59,228.26,222.4,48793800,800,72,1
43.86,7.02,49.12,220.15,219.57,223.49,219.41,27254800,980,55,1
38.89,2.78,58.33,219.01,216.34,220.54,218.92,22776800,547,100,1
37.21,9.3,53.49,217.15,214.61,218.74,216.33,20525100,608,10,1
39.02,12.2,48.78,216.6,212.86,216.9,215.11,18476400,806,18,1
20.93,16.28,62.79,214.65,212.2,217.05,214.6,18883200,774,13,1
45,7.5,47.5,214.1,211.76,216.36,213.84,19018100,598,28,1
25.81,32.26,41.94,216.8,211.75,217.19,214.03,26159800,402,14,-1
32.61,26.09,41.3,218.1,212.17,219.18,215.11,30287700,800,27,-1
32.56,11.63,55.81,213.44,214.26,217.95,213.16,35427000,598,16,1
47.73,4.55,47.73,211.75,210.06,213.81,211.47,28500400,775,107,1
45.65,15.22,39.13,209.22,207.03,210.74,208.33,28807600,770,104,1
